Name	Alternate name	Alternate name 2	RA 2000 (h:m:s)	DEC 2000 (d:m:s)	SuBr	Radial velocity (km/sec)	hrv error	galaxy type	Remarks
PGC 12004			03 13 28.68	+41 04 29.9	19.5	5502	34	Sa	
			03 13 32.89	+42 27 21.7	22.2			E?	
NPM +41.0104			03 13 33.35	+41 58 09.5	20.6			S	
			03 13 34.26	+41 55 53.4	22.2			?	
			03 13 36.01	+42 23 27.2	21.6			?	
			03 13 36.95	+42 48 46.4	21			S	
			03 13 40.84	+42 14 53.6	22.2			S	
NPM +41.0105			03 13 44.12	+41 23 32.5	20.6			S0/Sa	
			03 13 44.07	+41 22 57.2	21.9			S	
			03 13 46.38	+41 57 46.5	19.7			E	
			03 13 46.39	+42 33 21.1	22.7			SB/Irr?	
			03 13 46.79	+41 09 48.1	21.9			S?	
			03 13 46.89	+40 43 14.3	22			SB	
			03 13 48.69	+41 48 36.7	20.3			SB0	
			03 13 50.07	+41 12 59.2	21.6			E	
PGC 12028			03 13 51.76	+41 14 44.8	20.4			E	
			03 13 51.73	+41 52 17.8	21			SB0	
			03 13 53.28	+41 23 07.9	21.8			E	
			03 13 55.04	+40 49 01.9	20.9			SB0	
V Zw 331			03 13 57.60	+41 15 23.7	20.1	8666	34	E/S0?	
			03 13 58.22	+41 33 30.5	20.8			S(early)	
			03 14 03.90	+42 23 43.9	21.3			S?	
			03 14 04.09	+42 09 59.5	22.5			S(late)/Irr	
			03 14 04.74	+42 23 57.7	20.6			Sa?	
UGC 2598			03 14 08.37	+41 17 31.1	19.6	4504	35	S(early)	
PGC 12039			03 14 08.61	+42 44 55.4	19.2	5426	94	E/S0?	
			03 14 08.83	+40 43 39.1	20.7			E?	
			03 14 09.85	+40 37 17.6	22.4			SB?	
			03 14 11.69	+41 33 35.6	21.7			Irr/SB	
			03 14 14.61	+41 10 34.6	21.5			E	
			03 14 16.04	+42 24 54.1	20.3			E	
			03 14 18.26	+41 12 35.2	21.5			S	
			03 14 20.68	+41 27 54.0	21.6			S/S0	
